PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_MASSACHUSETTS,MASSACHUSETTS,1992,,5517659,273946,1439051,3804662,5245560,2751871,1523068,,167247,10722,75159,66822,60702,52425,536029,230299,777050,226.5979178,272.7832013,223.1600757,
1993_MASSACHUSETTS,MASSACHUSETTS,1993,862495,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641,59238,13178,76494,69111,62412,51309,548850,232208,794236,,,,
1994_MASSACHUSETTS,MASSACHUSETTS,1994,877384,6410757,312111,2119446,3979200,6391131,3536321,1914124,189810,282757,13982,77777,71131,64097,51618,560406,235220,809608,,,,
1995_MASSACHUSETTS,MASSACHUSETTS,1995,893727,7326904,265878,2095327,4965699,6706082,3681274,1840847,217956,259982,14792,79163,71800,65724,51911,574020,240419,829231,,,,
1996_MASSACHUSETTS,MASSACHUSETTS,1996,912330,7129757,302167,3028094,3799496,7479576,4171772,1953199,221882,360126,15695,76519,73659,67029,52569,589240,246205,851140,228.9664026,277.565642,225.3098605,249.6897555
1997_MASSACHUSETTS,MASSACHUSETTS,1997,928519,7585624,337880,3341044,3906700,7479407,4469869,2024501,239732,439273,18226,73125,75586,69388,54354,600322,252519,871067,,,,
1998_MASSACHUSETTS,MASSACHUSETTS,1998,942331,7726497,366880,3183950,4175667,8098720,4849603,2173146,255100,469395,18884,71390,77943,72101,55369,609793,257693,886370,,,,
1999_MASSACHUSETTS,MASSACHUSETTS,1999,957402,8388120,413600,3571654,4402866,8673439,5220083,2332767,271812,425998,19539,70029,79385,72545,56440,612594,265174,897307,,,,
2000_MASSACHUSETTS,MASSACHUSETTS,2000,958907,9464271,480898,3926522,5056851,9466363,5624037,2503616,323913,533702,19938,70647,78287,74527,58322,611990,272575,904503,234.9596133,283.1232456,233.7484103,266.4997692
2001_MASSACHUSETTS,MASSACHUSETTS,2001,965934,10613329,490388,4328575,5794366,10572138,6135199,2711995,338708,944333,20666,68565,76597,75218,59453,610264,273644,904574,,,,
2002_MASSACHUSETTS,MASSACHUSETTS,2002,959641,11217085,600037,4681737,5935311,11507438,6256148,3256542,351743,1154305,22803,69324,75165,77903,60916,608923,281939,913665,,,,
2003_MASSACHUSETTS,MASSACHUSETTS,2003,967200,11591832,712487,4757632,6121713,11382398,6521028,3444135,356389,424368,22533,69704,73478,78635,62389,599893,288329,910755,241.6645274,286.5206945,227.6042594,266.4089689
2004_MASSACHUSETTS,MASSACHUSETTS,2004,962488,11979937,773841,4726087,6480009,12033345,6883753,3557933,356355,570871,23281,68357,72818,76831,63852,590537,293399,907217,,,,
2005_MASSACHUSETTS,MASSACHUSETTS,2005,955225,12976279,761359,5434971,6779949,12726283,7203922,3750687,391078,803602,24617,68242,71410,76223,65635,582539,296511,903667,247.337049,291.5135411,231.2794393,261.0136865
2006_MASSACHUSETTS,MASSACHUSETTS,2006,949951,14160242,749362,6175593,7235287,13503621,7613569,3989906,413514,904979,24875,68585,70752,74381,67618,576604,298033,899512,,,,
2007_MASSACHUSETTS,MASSACHUSETTS,2007,945070,14407777,754202,6485380,7168195,14315518,8053653,4248353,422102,951016,25853,67900,71443,73318,68757,572523,296032,894408,252.4303198,297.9233445,235.7534621,267.4507196
2008_MASSACHUSETTS,MASSACHUSETTS,2008,937677,14633578,742093,6114211,7777274,14631545,8479345,4447719,441653,655884,26796,68540,70666,73170,68329,570479,292372,889647,,,,
2009_MASSACHUSETTS,MASSACHUSETTS,2009,932437,15298022,1181681,5974489,8141852,15174814,8885949,4626112,456737,589413,27871,68369,71078,72093,67973,569489,290502,887862,252.2547897,298.8543466,233.7494631,266.7995193
2010_MASSACHUSETTS,MASSACHUSETTS,2010,929569,14919763,1092892,5742989,8083882,14857823,8479433,4512401,442057,807802,27747,67496,71140,71588,67716,570283,289161,887191,,,,
2011_MASSACHUSETTS,MASSACHUSETTS,2011,924903,15396681,1197383,5783240,8416058,15150898,8685894,4583586,445972,817228,28116,67956,70404,72758,67460,569243,287055,884414,253.3964558,298.5124311,236.7738666,268.8339636
2012_MASSACHUSETTS,MASSACHUSETTS,2012,922683,15763456,979175,6200945,8583336,15696061,8801567,4642633,467588,1159931,28245,69669,70952,72048,67856,568277,287506,884028,,,,
2013_MASSACHUSETTS,MASSACHUSETTS,2013,920968,16114783,818054,6428534,8868195,16201905,9097982,4759997,467050,1283156,28189,69853,70862,72116,67429,569089,287478,884756,253.0337852,300.568235,232.373156,257.3512427
2014_MASSACHUSETTS,MASSACHUSETTS,2014,920558,16609204,791029,6587492,9230683,16518383,9407351,4969348,488065,1028761,28375,67670,69922,72190,68038,569677,288934,886986,,,,
2015_MASSACHUSETTS,MASSACHUSETTS,2015,916130,16985185,778939,6808436,9397810,16972319,9774884,5043032,497880,1034539,29297,66142,70892,72176,70997,571237,294897,895431,250.5657778,296.9085714,235.2754234,268.3912363
2016_MASSACHUSETTS,MASSACHUSETTS,2016,921029,17484704,765043,6770086,9949575,17037880,9991819,4970289,504388,945525,,,,,,,,,,,,
2017_MASSACHUSETTS,MASSACHUSETTS,2017,,,,,,,,,,,,,,,,,,,249.1026739,297.0422252,235.6996968,267.2505327
