Country Name,2017 GDP per Cap,2017 Adolescent birth rate,2017 HIV incidence
Afghanistan,550.0684588,64.462,
Albania,4537.579056,20.667,0.01
Algeria,4055.247211,10.138,0.01
American Samoa,11394.4753,,
Andorra,39146.54884,,
Angola,4100.289786,151.589,0.16
Antigua and Barbuda,14803.01093,43.513,
Argentina,14398.35877,62.79,0.03
Armenia,3936.79832,23.165,0.01
Aruba,25655.10202,21.427,
Australia,53793.53726,12.902,0.01
Austria,47380.82964,6.894,0.01
Azerbaijan,4135.138601,53.524,0.01
Bahamas,30762.01244,26.748,0.07
Bahrain,23739.15717,13.368,0.01
Bangladesh,1516.51327,83.508,0.01
Barbados,16356.98011,37.259,0.11
Belarus,5733.30721,17.16,0.05
Belgium,43467.4459,4.878,
Belize,4971.201636,63.466,0.16
Benin,827.3936794,86.096,0.06
Bhutan,3130.233543,20.339,
Bolivia,3393.955818,68.145,0.02
Bosnia and Herzegovina,5148.208517,10.019,
Botswana,7595.611141,29.982,1.28
Brazil,9812.278531,61.597,0.04
Brunei Darussalam,28290.5852,10.272,
Bulgaria,8228.01157,39.5,0.01
Burkina Faso,642.0371483,104.329,0.04
Burundi,292.0052103,26.782,0.05
Cabo Verde,3244.409561,73.759,0.04
Cambodia,1384.423187,50.177,0.01
Cameroon,1451.865747,105.8,0.21
Canada,44870.77616,9.402,
Central African Republic,418.411287,103.802,0.3
Central Europe and the Baltics,14176.86571,103.802,0.3
Chad,662.5001146,161.09,0.07
Chile,15346.4497,45.636,0.06
China,8826.994096,6.408,
Colombia,6408.920012,47.457,
Comoros,1312.333925,65.351,0.01
CongoDem. Rep.,462.7795441,124.22,0.02
Congo Rep.,1654.010322,111.819,0.25
Costa Rica,11677.26904,53.459,0.04
Cote d'Ivoire,1537.504031,132.711,0.19
Croatia,13386.51286,8.925,
Cuba,8433.092699,43.647,0.03
Cyprus,25658.79966,4.582,0.01
Czech Republic,20379.89604,9.995,0.01
Denmark,57218.85196,4.123,0.01
Djibouti,1927.589706,18.841,0.09
Dominican Republic,7052.258839,94.971,0.04
Ecuador,6273.488892,73.917,0.02
Egypt,2412.727082,50.042,0.01
El Salvador,3889.308769,69.459,0.03
Equatorial Guinea,9697.630234,155.622,0.54
Estonia,20200.37559,12.625,0.04
Eswatini,3242.751065,76.98,1.35
Ethiopia,767.5634778,62.459,0.02
Euro area,36984.31126,62.459,0.02
Fiji,5589.388833,43.942,
Finland,45804.65421,6.769,
France,38484.18992,8.643,0.02
Gabon,7413.795207,95.301,0.25
Gambia,709.077158,79.199,0.12
Georgia,4045.418967,45.903,0.04
Germany,44665.50637,6.535,
Ghana,2046.109986,66.611,0.1
Greece,18885.47598,7.223,0.02
Grenada,10451.02988,29.177,
Guam,35675.79417,31.713,
Guatemala,4470.989572,70.93,0.02
Guinea,823.4937155,135.294,0.11
Guinea-Bissau,723.6094119,84.482,0.2
Guyana,4655.144448,85.812,0.11
Haiti,765.6839246,37.45,0.11
Honduras,2480.125929,70.789,0.02
Hong Kong ,46193.61452,2.705,
Hungary,14278.8745,19.678,0.01
Iceland,71311.78512,6.805,
India,1979.364301,23.074,0.01
Indonesia,3846.415709,47.374,0.03
Iran,5593.853783,24.991,0.01
Iraq,5017.968065,80.136,
Ireland,68885.45038,9.662,
Israel,40543.58417,9.216,
Italy,32110.02726,6.1,0.01
Jamaica,5114.041081,52.757,0.12
Japan,38430.29124,4.078,0.01
Jordan,4129.751664,22.439,
Kazakhstan,9030.318806,27.498,0.03
Kenya,1594.834926,80.489,0.19
Kiribati,1594.29287,16.177,
Korea,29742.83886,1.643,
Kosovo,3957.441819,,
Kuwait,29040.36371,8.991,0.01
Kyrgyz Republic,1220.473498,38.116,0.02
